"","AP","AP50","AP75","APS","APM","APL","AR1","AR10","AR100","ARS","ARM","ARL","date"
"MSRA","0.37","0.592","0.396","0.162","0.406","0.549","0.31","0.469","0.489","0.281","0.553","0.673","2016-09-16"
"G-RMI","0.333","0.564","0.341","0.145","0.358","0.499","0.291","0.444","0.466","0.262","0.517","0.646","2016-09-17"
"MSRA_2015","0.279","0.512","0.276","0.086","0.302","0.453","0.254","0.371","0.38","0.166","0.433","0.578","2015-11-27"
"FAIRCNN","0.25","0.454","0.245","0.072","0.288","0.39","0.238","0.366","0.385","0.17","0.467","0.535","2015-11-26"
"1026","0.167","0.315","0.159","0.018","0.172","0.302","0.172","0.24","0.246","0.045","0.282","0.403","2015-11-27"
