"","AP","AP50","AP75","APS","APM","APL","AR1","AR10","AR100","ARS","ARM","ARL","date"
"furniture: bed","0.301","0.619","0.266","0.083","0.103","0.319","0.379","0.46","0.463","0.08","0.4","0.472","2016-09-17"
"outdoor: traffic light","0.289","0.571","0.254","0.21","0.499","0.568","0.153","0.387","0.416","0.339","0.624","0.708","2016-09-17"
"food: orange","0.286","0.403","0.309","0.086","0.347","0.49","0.138","0.445","0.539","0.278","0.659","0.733","2016-09-17"
"sports: [all]","0.281","0.539","0.263","0.181","0.414","0.464","0.288","0.379","0.39","0.274","0.527","0.633","2016-09-17"
"accessory: tie","0.27","0.507","0.252","0.134","0.379","0.515","0.249","0.353","0.368","0.215","0.508","0.599","2016-09-17"
"animal: bird","0.269","0.534","0.257","0.129","0.438","0.631","0.157","0.321","0.363","0.227","0.56","0.708","2016-09-17"
"food: hot dog","0.267","0.466","0.265","0.082","0.2","0.512","0.24","0.41","0.463","0.189","0.488","0.704","2016-09-17"
"appliance: toaster","0.267","0.362","0.304","0.144","0.25","0.513","0.403","0.425","0.425","0.289","0.413","0.633","2016-09-17"
"vehicle: motorcycle","0.259","0.591","0.195","0.095","0.211","0.431","0.182","0.321","0.335","0.169","0.304","0.508","2016-09-17"
"furniture: [all]","0.256","0.483","0.236","0.068","0.196","0.302","0.296","0.415","0.423","0.163","0.405","0.487","2016-09-17"
"sports: surfboard","0.25","0.537","0.2","0.106","0.341","0.531","0.256","0.361","0.372","0.205","0.47","0.663","2016-09-17"
"sports: skateboard","0.248","0.579","0.185","0.093","0.379","0.508","0.261","0.351","0.352","0.171","0.493","0.661","2016-09-17"
"indoor: [all]","0.245","0.453","0.241","0.121","0.268","0.398","0.234","0.36","0.389","0.222","0.44","0.586","2016-09-17"
"accessory: [all]","0.244","0.44","0.236","0.101","0.31","0.412","0.215","0.378","0.397","0.217","0.491","0.622","2016-09-17"
"sports: kite","0.24","0.546","0.173","0.18","0.388","0.467","0.149","0.343","0.39","0.308","0.533","0.67","2016-09-17"
"furniture: couch","0.24","0.463","0.222","0.003","0.139","0.271","0.299","0.441","0.441","0.1","0.364","0.467","2016-09-17"
"kitchen: wine glass","0.236","0.569","0.162","0.108","0.334","0.495","0.15","0.323","0.34","0.181","0.468","0.607","2016-09-17"
"food: broccoli","0.231","0.465","0.218","0.089","0.224","0.323","0.13","0.371","0.443","0.26","0.454","0.51","2016-09-17"
"kitchen: [all]","0.23","0.434","0.216","0.113","0.335","0.456","0.195","0.348","0.361","0.223","0.495","0.624","2016-09-17"
"indoor: scissors","0.223","0.507","0.164","0.13","0.231","0.331","0.192","0.3","0.339","0.208","0.366","0.446","2016-09-17"
"electronic: remote","0.219","0.476","0.163","0.147","0.372","0.684","0.205","0.368","0.372","0.291","0.591","0.785","2016-09-17"
"food: apple","0.212","0.307","0.23","0.05","0.252","0.457","0.149","0.39","0.447","0.23","0.522","0.744","2016-09-17"
"vehicle: boat","0.202","0.454","0.162","0.126","0.239","0.324","0.108","0.281","0.332","0.248","0.373","0.466","2016-09-17"
"sports: snowboard","0.186","0.454","0.122","0.081","0.25","0.435","0.232","0.317","0.322","0.166","0.389","0.642","2016-09-17"
"food: banana","0.18","0.355","0.16","0.071","0.2","0.355","0.096","0.264","0.36","0.188","0.427","0.556","2016-09-17"
"furniture: potted plant","0.174","0.401","0.11","0.122","0.211","0.185","0.198","0.332","0.351","0.256","0.392","0.408","2016-09-17"
"vehicle: bicycle","0.159","0.424","0.078","0.059","0.162","0.304","0.155","0.241","0.253","0.139","0.274","0.405","2016-09-17"
"accessory: backpack","0.158","0.329","0.116","0.074","0.226","0.291","0.219","0.34","0.344","0.206","0.44","0.573","2016-09-17"
"sports: baseball bat","0.153","0.426","0.061","0.124","0.233","0.089","0.228","0.279","0.281","0.225","0.38","0.368","2016-09-17"
"outdoor: bench","0.152","0.321","0.133","0.042","0.159","0.294","0.17","0.255","0.262","0.112","0.287","0.437","2016-09-17"
"furniture: chair","0.139","0.328","0.101","0.04","0.172","0.277","0.117","0.275","0.298","0.137","0.366","0.495","2016-09-17"
"food: carrot","0.138","0.288","0.118","0.061","0.186","0.261","0.088","0.296","0.391","0.266","0.476","0.516","2016-09-17"
"kitchen: knife","0.133","0.288","0.117","0.047","0.257","0.402","0.174","0.235","0.242","0.126","0.412","0.597","2016-09-17"
"indoor: toothbrush","0.118","0.28","0.092","0.038","0.216","0.266","0.126","0.188","0.191","0.081","0.327","0.372","2016-09-17"
"accessory: handbag","0.114","0.252","0.087","0.069","0.183","0.2","0.168","0.292","0.294","0.183","0.425","0.557","2016-09-17"
"kitchen: fork","0.103","0.294","0.048","0.04","0.176","0.253","0.149","0.189","0.189","0.085","0.299","0.45","2016-09-17"
"kitchen: spoon","0.096","0.239","0.064","0.033","0.215","0.264","0.137","0.203","0.207","0.108","0.39","0.448","2016-09-17"
"furniture: dining table","0.078","0.215","0.041","0.004","0.033","0.107","0.186","0.244","0.246","0.028","0.181","0.314","2016-09-17"
"indoor: hair drier","0.071","0.222","0.043","0","0.101","0.199","0.259","0.281","0.281","0","0.267","0.55","2016-09-17"
"indoor: book","0.057","0.145","0.037","0.032","0.114","0.203","0.053","0.147","0.229","0.164","0.383","0.568","2016-09-17"
"sports: skis","0.018","0.093","0.001","0.009","0.037","0.092","0.042","0.077","0.086","0.052","0.149","0.228","2016-09-17"
