"","AP","AP50","AP75","APS","APM","APL","AR1","AR10","AR100","ARS","ARM","ARL","date"
"furniture: chair","0.2","0.424","0.176","0.075","0.244","0.387","0.142","0.323","0.352","0.192","0.415","0.562","2016-09-16"
"outdoor: bench","0.198","0.388","0.185","0.058","0.208","0.379","0.2","0.297","0.31","0.146","0.338","0.499","2016-09-16"
"accessory: backpack","0.197","0.384","0.182","0.092","0.29","0.357","0.249","0.358","0.36","0.191","0.485","0.616","2016-09-16"
"kitchen: knife","0.161","0.322","0.145","0.059","0.312","0.487","0.188","0.242","0.245","0.111","0.446","0.628","2016-09-16"
"food: carrot","0.156","0.306","0.143","0.076","0.207","0.299","0.092","0.314","0.392","0.265","0.474","0.545","2016-09-16"
"indoor: toothbrush","0.155","0.34","0.125","0.069","0.266","0.324","0.157","0.226","0.241","0.124","0.391","0.422","2016-09-16"
"accessory: handbag","0.143","0.306","0.11","0.083","0.235","0.242","0.191","0.293","0.295","0.167","0.452","0.554","2016-09-16"
"kitchen: fork","0.141","0.391","0.059","0.056","0.23","0.361","0.184","0.227","0.228","0.123","0.344","0.474","2016-09-16"
"kitchen: spoon","0.14","0.312","0.117","0.062","0.287","0.364","0.166","0.241","0.244","0.137","0.445","0.486","2016-09-16"
"furniture: dining table","0.121","0.26","0.103","0.007","0.076","0.159","0.224","0.304","0.312","0.074","0.263","0.379","2016-09-16"
"indoor: book","0.061","0.139","0.049","0.023","0.138","0.302","0.058","0.14","0.173","0.087","0.382","0.568","2016-09-16"
"indoor: hair drier","0.035","0.073","0.02","0","0.012","0.176","0.23","0.237","0.237","0","0.25","0.425","2016-09-16"
"sports: skis","0.021","0.097","0.002","0.008","0.055","0.112","0.052","0.088","0.096","0.056","0.175","0.206","2016-09-16"
